Дата и время,CO,NO2,NO,PM10,Давление,Влажность,| V |,_V_,-T-,Осадки
15.01.2021 18:20,,,,,746.7,75,0.1,4,-12.7,0
15.01.2021 18:40,,,,,746.6,74.8,0.3,27,-12.7,0
15.01.2021 19:00,,,,,746.8,75,0.2,0,-12.7,0
15.01.2021 19:20,,,,,746.7,75,0.1,4,-12.6,0
15.01.2021 19:40,,,,,746.5,74.8,0.1,0,-12.4,0
15.01.2021 20:00,,,,,746.4,75,0.2,36,-12.4,0
15.01.2021 20:20,,,,,746.4,75,0.3,0,-12.4,0
15.01.2021 20:40,,,,,746.5,74.7,0.3,95,-12.7,0
15.01.2021 21:00,,,,,746.6,75,0.3,30,-12.9,0
15.01.2021 21:20,,,,,746.6,74.8,0.4,0,-13.2,0
15.01.2021 21:40,,,,,746.7,74.7,0.2,0,-13.4,0
15.01.2021 22:00,,,,,746.7,74.4,0.3,0,-13.5,0
15.01.2021 22:20,,,,,746.6,74.9,0.1,0,-13.4,0
15.01.2021 22:40,,,,,746.4,74.9,0.2,27,-13.3,0
15.01.2021 23:00,,,,,746.1,74.8,0.1,60,-13.3,0
15.01.2021 23:20,,,,,746.1,74,0.3,0,-13.4,0
15.01.2021 23:40,,,,,746,75,0.3,326,-13.6,0
07.04.2021 00:00,0.1,0.0727,0.001,0.062,742.3,56.9,0.6,26,8.1,0
07.04.2021 00:20,0.1,0.0601,0.001,0.049,742.3,58,0.8,4,8,0
07.04.2021 00:40,0.1,0.0514,0.001,0.043,742.3,58,0.9,33,7.9,0
07.04.2021 01:00,0.1,0.0566,0,0.042,742.3,58.5,1,8,7.7,0
07.04.2021 01:20,0.1,0.0674,0,0.042,742.3,58.8,1,32,7.5,0
07.04.2021 01:40,0,0.0582,0,0.041,742.4,59.6,1,53,7.2,0
07.04.2021 02:00,0,0.0529,0.001,0.039,742.4,61.1,0.9,41,7,0
07.04.2021 02:20,0,0.0497,0,0.036,742.3,62.7,1,27,6.8,0
07.04.2021 02:40,0,0.0454,0,0.032,742.2,64.3,0.7,0,6.5,0
07.04.2021 03:00,0,0.0468,0.001,0.028,742.2,65.6,0.5,0,6.2,0
07.04.2021 03:20,0,0.0562,0.001,0.029,742.1,66,0.5,42,6,0
07.04.2021 03:40,0,0.0575,0.001,0.031,742,66,0.3,0,5.9,0
07.04.2021 04:00,0,0.0739,0.001,0.036,741.9,65.1,0.1,179,6,0
07.04.2021 04:20,0,0.0709,0.002,0.042,741.9,63.5,0.5,195,6.2,0
07.04.2021 04:40,0,0.0758,0.002,0.049,741.9,63.9,0.7,197,6,0
07.04.2021 05:00,0,0.0755,0.002,0.05,741.7,65,0.2,0,5.8,0
07.04.2021 05:20,0,0.0649,0.001,0.047,741.6,65.2,0.1,0,5.9,0
07.04.2021 05:40,0,0.0579,0.002,0.041,741.6,65.2,0.1,0,6,0
07.04.2021 06:00,0,0.0584,0.003,0.039,741.7,65,0.2,165,6.1,0
07.04.2021 06:20,0,0.0611,0.005,0.04,741.7,65,0,0,6.1,0
07.04.2021 06:40,0,0.0582,0.005,0.044,741.6,65.2,0,38,6.1,0
07.04.2021 07:00,0,0.0542,0.006,0.045,741.5,65.9,0.1,0,6.1,0
07.04.2021 07:20,0,0.047,0.005,0.045,741.5,66.4,0.9,206,5.9,0
07.04.2021 07:40,0,0.0467,0.008,0.044,741.4,67.9,0.5,210,5.7,0
07.04.2021 08:00,0.1,0.0506,0.017,0.045,741.4,69,0.5,204,5.7,0
07.04.2021 08:20,0.1,0.0434,0.012,0.058,741.5,69,0.5,0,5.9,0
07.04.2021 08:40,0,0.0373,0.006,0.054,741.5,69,1.1,195,6.1,0
07.04.2021 09:00,0.1,0.0373,0.008,0.045,741.6,69.8,0.9,0,6.2,0
07.04.2021 09:20,0.1,0.0387,0.009,0.043,741.6,69.6,0.5,186,6.5,0
07.04.2021 09:40,0.1,0.0394,0.01,0.04,741.6,69.3,1,185,6.7,0
07.04.2021 10:00,0.1,0.0441,0.017,0.038,741.6,70,0.2,145,6.9,0
07.04.2021 10:20,0.1,0.0278,0.011,0.04,741.5,67.5,1.1,243,7.7,0
07.04.2021 10:40,0,0.0268,0.01,0.04,741.5,65.7,1.2,135,8.3,0
07.04.2021 11:00,0,0.031,0.011,0.042,741.5,61.8,1.5,186,9.1,0
07.04.2021 11:20,0,0.0309,0.009,0.041,741.5,59.3,1.8,173,9.4,0
07.04.2021 11:40,0,0.0317,0.008,0.042,741.6,57.4,2.2,194,9.8,0
07.04.2021 12:00,0,0.0287,0.005,0.042,741.7,55.9,2.1,182,10,0
07.04.2021 12:20,0,0.0276,0.004,0.043,741.6,56.9,1.8,196,9.6,0
07.04.2021 12:40,0,0.0285,0.008,0.037,741.4,56,1.1,190,10,0
07.04.2021 13:00,0,0.0237,0.007,0.036,741.1,50.4,1.5,192,11.2,0
07.04.2021 13:20,0,0.0167,0.004,0.03,740.9,45.7,1.9,216,11.5,0
07.04.2021 13:40,0.4,0.0199,0.004,0.031,740.8,45.3,2.3,164,11.5,0
07.04.2021 14:00,0.4,0.0165,0.003,0.037,740.6,45.2,1.7,219,11.8,0
07.04.2021 14:20,0.4,0.0172,0.003,0.04,740.5,43.9,2.1,210,11.6,0
07.04.2021 14:40,0.4,0.0189,0.003,0.059,740.4,38.9,3.3,195,11.5,0
07.04.2021 15:00,0.4,0.0168,0.002,0.058,740.4,37.6,3.3,201,11.4,0
07.04.2021 15:20,0.3,0.0195,0.002,0.062,740.4,38.4,3.3,212,11,0
07.04.2021 15:40,0.4,0.0247,0.004,0.052,740.4,40.2,2.4,208,10.7,0
07.04.2021 16:00,0.4,0.0223,0.003,0.047,740.4,43.3,2.9,142,10.4,0
07.04.2021 16:20,0.4,0.0229,0.003,0.042,740.4,45.7,2.6,191,10,0
07.04.2021 16:40,0.4,0.0283,0.002,0.036,740.4,47.3,2.3,226,9.8,0
07.04.2021 17:00,0.4,0.0252,0.003,0.036,740.4,54.2,1.1,193,9.3,0
07.04.2021 17:20,0.4,0.0359,0.004,0.034,740.2,56,1.2,202,9,0
07.04.2021 17:40,0.4,0.0266,0.001,0.034,740.2,57.5,2.5,184,8.7,0
07.04.2021 18:00,0.4,0.0308,0.003,0.03,740.1,61.8,1.4,210,8.3,0
07.04.2021 18:20,0.4,0.0377,0.004,0.028,739.9,63,1,174,8.2,0
07.04.2021 18:40,0.4,0.0286,0.002,0.032,739.8,64.2,1.6,153,8.1,0
07.04.2021 19:00,0.4,0.0201,0.002,0.026,739.7,68.2,2.1,179,7.5,0
07.04.2021 19:20,0.4,0.024,0.003,0.022,739.7,73.9,1.1,195,6.9,0.3
07.04.2021 19:40,0.4,0.0206,0.003,0.017,739.6,76.8,1,168,6.2,0.3
07.04.2021 20:00,0.3,0.0151,0.002,0.01,739.6,78.1,0.8,0,5.3,0.3
07.04.2021 20:20,0.4,0.0176,0.002,0.007,739.5,79.6,0.9,233,4.8,0.3
07.04.2021 20:40,0.4,0.0202,0.002,0.007,739.3,80.4,0.5,0,4.5,0
07.04.2021 21:00,0.4,0.0204,0.002,0.006,739,81.1,0.5,0,4.4,0.3
07.04.2021 21:20,0.4,0.026,0.002,0.006,738.7,82,0.3,169,4.3,0.3
07.04.2021 21:40,0.4,0.0284,0.001,0.006,738.3,82,0.2,0,4.2,0.3
07.04.2021 22:00,0.4,0.0271,0.002,0.007,738,81.8,0.3,0,4,0.3
07.04.2021 22:20,0.4,0.0421,0.002,0.007,737.6,82,0.1,0,4,0
07.04.2021 22:40,0.2,0.0729,0.002,0.008,737.3,82,0,0,4,0.3
07.04.2021 23:00,0.2,0.0804,0.006,0.008,736.9,82,0.1,0,4.1,0
07.04.2021 23:20,0.2,0.0478,0.001,0.009,736.4,82.1,0.2,359,4,0
07.04.2021 23:40,0.2,0.0417,0,0.008,736.1,83,0.3,359,3.8,0
08.04.2021 00:00,0.2,0.0461,0,0.008,735.9,83.5,0.2,0,3.8,0
08.04.2021 00:20,0.3,0.0612,0,0.01,735.7,84,0.1,0,3.9,0
08.04.2021 00:40,0.3,0.0691,0.001,0.018,735.4,84,0.1,0,4,0.3
08.04.2021 01:00,0.3,0.0739,0.004,0.022,735.2,83.9,0.1,0,4.1,0
08.04.2021 01:20,0.3,0.0914,0.009,0.021,735,83.1,0,0,4.3,0
08.04.2021 01:40,0.3,0.0921,0.011,0.021,734.8,83,0,0,4.5,0
08.04.2021 02:00,0.3,0.094,0.014,0.024,734.6,82.2,0,0,4.6,0
08.04.2021 02:20,0.3,0.0903,0.007,0.026,734.5,82.2,0,0,4.7,0
08.04.2021 02:40,0.3,0.0827,0.004,0.025,734.6,81.7,0.2,0,4.8,0
08.04.2021 03:00,0.2,0.0722,0.002,0.019,734.4,82,0.2,0,4.6,0
08.04.2021 03:20,0.2,0.065,0.001,0.014,734.3,81.9,0.2,233,4.6,0
08.04.2021 03:40,0.2,0.0577,0.001,0.011,734.2,81.2,0.2,211,4.4,0
08.04.2021 04:00,0.2,0.0521,0.001,0.011,734.2,82,0.2,0,4.4,0
08.04.2021 04:20,0.2,0.0466,0.001,0.011,734.2,82,0.3,0,4.3,0
08.04.2021 04:40,0.2,0.0498,0.001,0.01,734,82.3,0.1,254,4.2,0
08.04.2021 05:00,0.2,0.0497,0.001,0.011,733.9,83,0.2,0,4.1,0
08.04.2021 05:20,0.2,0.0521,0.001,0.011,733.8,83,0.1,0,4.1,0
08.04.2021 05:40,0.2,0.0533,0.005,0.01,733.8,83,0.3,147,4.1,0
08.04.2021 06:00,0.2,0.051,0.005,0.01,733.7,83.4,0.3,160,4,0
08.04.2021 06:20,0.2,0.0517,0.007,0.01,733.6,84,0.4,161,4,0
08.04.2021 06:40,0.2,0.0531,0.009,0.011,733.5,84,0.4,192,3.9,0
08.04.2021 07:00,0.2,0.0463,0.007,0.01,733.5,84,0.9,168,3.8,0.6
08.04.2021 07:20,0.3,0.0469,0.017,0.006,733.4,84,0.6,188,3.6,0.3
08.04.2021 07:40,0.2,0.0461,0.011,0.005,733.4,84,0.6,0,3.5,0
08.04.2021 08:00,0.2,0.0432,0.006,0.005,733.2,83.7,0.6,359,3.6,0.3
08.04.2021 08:20,0.2,0.0457,0.009,0.006,733.1,83.1,0.8,0,3.5,0.8
